strežba,5.07,cerklje na gorenjskem,1,dlje časa (občasno),dopoldan,začasno in občasno delo,Delo poteka v šanku na spodnji postaji gondole na Krvavec. Zaželene so izkušnje s strežbo. 
delo v avtopralnici,4.65,maribor studenci,2,po dogovoru,po dogovoru,začasno in občasno delo,"Podjetje potrebuje zanesljivega/o, pridnega/o in delavnega/o študenta/-ko za pomoč v avtomatski avtopralnici. Delo poteka po dogovoru, tako med tednom, kakor tudi čez vikende. Možnost stimulacije za dobro opravljeno delo. "
delo v skladišču,5.07,zgornji brnik,4,dalj časa (občasno),dopoldan,začasno in občasno delo,"Podjetje potrebuje študenta/tko za enostavna fizična dela, razporejanje artiklov in paketov, ročno nakladanje in razkladanje kontejnerjev. Prijave sprejemajo na email naslov. "
blagajnik,5.07,ljubljana rudnik,6,dlje časa (občasno),izmensko,začasno in občasno delo,Mednarodna trgovska veriga išče osebe za delo na blagajni. Dela se med tednom in tudi ob vikendih. 
administrativna dela,5.00,ljubljana,2,do konca leta 2019,dopoldan,začasno in občasno delo,Za prepisovanje magnetogramov v podjetju potrebujejo dve polnoletni osebi. Kandidati morajo imeti znanje 10-prstnega slepega tipkanja. Zaželeno je doseganje 250 udarcev/minuto ali več. V sklopu izbire kandidatov bo opravljen tudi preizkus hitrega tipkanja. Prijave z življenjepisom pošljite na e-mail naslov. 
administrativna dela,5.00,vrhnika,1,dlje časa (občasno),dopoldan,začasno in občasno delo,Podjetje potrebuje polnoletnega kandidata z znanjem hitrega tipkanja za prepisovanje posnetkov in tipkanja po nareku. Delo bo obsegalo tudi pomoč v administraciji in delo s pošto. Možnost pričetka dela takoj. Prijave z življenjepisom posredujte po e-mailu. 
delo v skladišču,4.82,črna pri kamniku,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Podjetje potrebuje polnoletnega kandidata za delo v skladišču (priprava blaga . . . ) ter za delo prodajnega potnika po terenu. Pogoj: izpit B kategorije. Delo je večinoma dopoldansko, lahko kdaj tudi popoldansko (po dogovoru). Možnost kasnejšega dolgoročnega sodelovanja. "
knjigovodska delalažja administrativna dela,4.13,škofja loka,1,po dogovoru,dopoldan,začasno in občasno delo,Podjetje išče kandidata za pomoč v računovodskem servisu. Zaželena je starost nad 20 let in odprtost za nova znanja ter učenje računovodskih osnov. Delo bo obsegalo knjiženje faktur in drugih dokumentov v računovodski program ter druga lažja administrativna dela. 
pomoč pri prodaji,5.50,ljubljana,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,"Potrebujejo osebo za prodajo v trgovini s tekstilom, pakiranje naročil, sprejem blaga, nalaganje artiklov na spletno stran ter vse kar je potrebno za delovanje trgovine. Pogoji: izkušnje s prodajo, toplina za delo s strankami, zanesljivost in natančnost pri urejanju na spletni strani, komunikativnost in prijaznost. Delo bo potekalo med tednom 2 - 3 x dopoldne in 1x popoldne. Skupno cca 15 ur.  Poleg urne postavke je še mesečna nagrada po prometu. Prijave sprejemajo na elektronski naslov. "
selitve,5.00,ljubljana,3,dlje časa (občasno),dopoldan,začasno in občasno delo,Pomoč pri selitvah pohištva. Pričetek dela ob 8. uri. Pogoja sta zanesljivost in resnost ter ustrezna fizična moč. 
prodaja,5.00,ptuj,1,"dlje časa (občasno), po potrebi in dogovoru",popoldan,začasno in občasno delo,"Mednarodno podjetje z več kot 25 letno tradicijo, ki trži priznane blagovne znamke, išče osebo za delo v trgovini (prodaja in skrb za urejenost trgovine). Pogoj je polnoletnost. Izkušnje z delom v trgovini so prednost. Delovnik je pretežno v popoldanskem času, oz. po dogovoru in potrebi. Urna postavka za nedelje je 7, 10 € bruto (6 € neto). Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja. "
tehnična pomočdelo na terenu,10.00,maribor z okolico,3,dlje časa (občasno),med vikendom,začasno in občasno delo,"Postavitve ozvočenja, odrov in tehnike za koncerte in prireditve (tehnična pomoč). Pogoj je starost nad 18 let. Zaželen je izpit B kategorije. Plačilo je po projektu. Prijave sprejemajo na e-mail.   "
montažadelo na terenu,10.00,maribor z okolico,3,po dogovoru,med vikendom,začasno in občasno delo,"Postavitve ozvočenja, odrov in tehnike za koncerte in prireditve (montaža). Pogoj je starost nad 18 let. Zaželen je izpit B kategorije. Plačilo je po projektu. Prijave sprejemajo na e-mail.     "
strežba hrane in pijače,4.50,ptuj,2,"dlje časa (občasno), po potrebi",izmensko,začasno in občasno delo,"Podjetje potrebuje polnoletni, vestni in komunikativni osebi za delo in pomoč v strežbi hrane in pijač. Pogoj; izkušnje pri podobnih delih. Delo poteka v dopoldankem in popoldanskem času, prav tako ob vikendih, po dogovoru in potrebi. Interesenti naj pokličejo na kontakt podjetja. "
